cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm_dom_ctss	tss.num	shape.index	nCTSSs	nTSSs
2491	chr2R	18532508	18532509	-	1	18532509	21.8356786947518	21.8356786947518	2491	2	1	57
2492	chr2R	18535062	18535072	-	2	18535063	5.79055467994712	3.47217630427602	2492	1.02904940554533	2	15
2493	chr2R	18572825	18572829	-	2	18572826	2.32453558413257	1.16226779206629	2493	1	2	6
2494	chr2R	18574267	18574270	-	3	18574270	61.9416922472819	51.926090832753	2494	1.21023782031858	3	162
2495	chr2R	18691117	18691118	-	1	18691118	17.6362391963443	17.6362391963443	2495	2	1	46
2496	chr2R	18691809	18691813	-	2	18691813	9.23778790403447	8.07552011196818	2496	1.4564355568004	2	24
2497	chr2R	18691883	18691915	-	5	18691885	9.27933918316204	3.08777025983574	2497	-0.845411064899976	9	29
2498	chr2R	18692238	18692259	-	2	18692259	14.9774939045036	13.8152261124373	2498	1.34664769182306	3	41
2499	chr2R	18692292	18692296	-	2	18692293	3.86544761584577	2.70317982377949	2499	1.11870910076931	2	10
2500	chr2R	18692318	18692356	-	5	18692336	28.0769443192435	14.197493831883	2500	0.0601059592582174	6	74
2501	chr2R	18692443	18692445	-	2	18692445	7.32828392771015	4.24051366787441	2501	1.0180592131359	2	19
2502	chr2R	18692479	18692496	-	3	18692494	32.2253736123866	23.3619433236889	2502	0.897900869191047	3	84
2503	chr2R	18692527	18692560	-	3	18692548	5.41434921457127	2.3183783756711	2503	-0.0306390622295662	5	16
2504	chr2R	18692591	18692618	-	5	18692602	10.8190500333694	3.85641860974955	2504	-0.360099550377667	6	29
2505	chr2R	18692760	18692762	-	2	18692761	3.09559808442614	1.93333029235985	2505	1.04556599707504	2	8
2506	chr2R	18692814	18692817	-	2	18692817	4.25116524322957	2.70317982377949	2506	0.426597547582233	4	13
2507	chr2R	18692901	18692944	-	7	18692928	25.0588232079843	6.92595847127459	2507	-0.655095765195171	8	66
2508	chr2R	18693010	18693023	-	2	18693011	3.48064616773738	2.3183783756711	2508	0.270426041486378	4	12
2509	chr2R	18693240	18693241	-	1	18693241	12.2857368361036	12.2857368361036	2509	2	1	32
2510	chr2R	18693295	18693327	-	4	18693325	9.26981479913443	4.24051366787441	2510	-0.0173206585968413	5	25
2511	chr2R	18693488	18693490	-	2	18693490	4.25170866803095	2.3183783756711	2511	1.00596978852304	2	11
2512	chr2R	18693571	18693573	-	2	18693572	12.7012609383894	7.30922160650763	2512	0.756819602033165	3	35
2513	chr2R	18694051	18694070	-	2	18694052	3.09597083890017	1.54798541945008	2513	0.478071905112638	3	10
2514	chr2R	18694284	18694286	-	2	18694286	3.09559808442614	1.93333029235985	2514	1.04556599707504	2	8
2515	chr2R	18694318	18694320	-	2	18694320	2.71025321151637	1.54798541945008	2515	1.01477186396575	2	7
2516	chr2R	18694423	18694429	-	4	18694428	9.65310653992092	4.62447495273345	2516	-0.0406574090099765	5	27
2517	chr2R	18694471	18694472	-	1	18694472	13.8152261124373	13.8152261124373	2517	2	1	36
2518	chr2R	18772170	18772189	-	2	18772171	10.7695704880477	9.60730269598138	2518	1.50876265817567	2	28
2519	chr2R	18772879	18772884	-	3	18772884	7.33706477748694	3.85641860974955	2519	0.249775122714765	4	21
2520	chr2R	18772967	18772969	-	2	18772969	23.3873798708227	21.4540495784629	2520	1.40083937982806	3	63
2521	chr2R	18776351	18776357	-	2	18776352	3.09597083890017	1.54798541945008	2521	1	2	8
2522	chr2R	18821607	18821621	-	2	18821621	6.55994656411176	3.47217630427602	2522	1.00249745363088	2	17
2523	chr2R	18822408	18822423	-	2	18822409	2.71025321151637	1.54798541945008	2523	0.247284721020295	4	9
2524	chr2R	18822460	18822470	-	4	18822470	132.308368821868	106.232356652757	2524	1.16180702267665	4	347
2525	chr2R	18822557	18822576	-	4	18822576	34.1610092670929	19.927267474403	2525	0.621669290141879	4	89
2526	chr2R	18822614	18822623	-	4	18822615	10.4253941799575	3.47217630427602	2526	0.0945827559679207	4	27
2527	chr2R	18822777	18822778	-	1	18822778	7.30922160650763	7.30922160650763	2527	1.71360304288404	2	20
2528	chr2R	18822869	18822872	-	3	18822871	19.2309996601264	9.22445137207965	2528	0.679075722771841	3	50
2529	chr2R	18823033	18823072	-	9	18823035	49.942676283276	25.6506293028765	2529	-0.505641227727055	13	136
2530	chr2R	18823095	18823097	-	2	18823096	3.86544761584577	2.70317982377949	2530	1.11870910076931	2	10
2531	chr2R	18824155	18824164	-	4	18824156	24.9918719509414	11.90325354315	2531	0.28146500119593	5	67
2532	chr2R	18824202	18824222	-	3	18824220	72.6593314865994	46.2196122153526	2532	0.918523824219909	3	190
2533	chr2R	18824249	18824257	-	5	18824252	128.681303581799	73.2107554702068	2533	0.589632611687031	7	340
2534	chr2R	18851418	18851419	-	1	18851419	6.54261381066948	6.54261381066948	2534	2	1	17
2535	chr2R	18951761	18951767	-	5	18951763	165.919395465975	119.504942046244	2535	0.669960683124911	6	437
2536	chr2R	18961601	18961605	-	2	18961605	3.48131571180993	1.93333029235985	2536	1.00892394016178	2	9
2537	chr2R	19045705	19045711	-	5	19045710	93.6203283564148	69.4119005572285	2537	0.809769189194602	6	246
2538	chr2R	19217108	19217124	-	4	19217110	19.6382995663211	8.84153898526358	2538	0.214926116810384	4	51
2539	chr2R	19217222	19217231	-	2	19217231	4.25003805190202	3.08777025983574	2539	1.15464906337756	2	11
2540	chr2R	19273075	19273077	-	2	19273077	4.63444409634231	3.47217630427602	2540	1.18872187554087	2	12
2541	chr2R	19273248	19273249	-	1	19273249	5.00831368017223	5.00831368017223	2541	1.62876767335912	2	14
2542	chr2R	19273991	19273994	-	3	19273992	89.9704697219432	87.2602165104268	2542	1.77808811579224	3	236
2543	chr2R	19411126	19411140	-	2	19411140	21.5097133733502	12.6681743880866	2543	0.912845616153509	3	57
2544	chr2R	19441836	19441838	-	2	19441837	3.8666605847197	1.93333029235985	2544	1	2	10
2545	chr2R	19442036	19442037	-	1	19442037	7.30922160650763	7.30922160650763	2545	2	1	19
2546	chr2R	19497057	19497064	-	2	19497058	3.09597083890017	1.54798541945008	2546	1	2	8
2547	chr2R	19597316	19597318	-	2	19597317	5.40614863550683	3.08777025983574	2547	0.594360937770434	3	16
2548	chr2R	19698951	19698954	-	3	19698954	13.4828282530914	6.15918280477931	2548	0.602241524030113	3	35
2549	chr2R	19744383	19744385	-	2	19744385	8.09403840453305	5.77566002886195	2549	1.13687943143337	2	21
2550	chr2R	19744411	19744415	-	4	19744413	6.57661700663755	2.3183783756711	2550	0.0457526003079198	4	17
2551	chr2R	19755448	19755451	-	2	19755449	2.71025321151637	1.54798541945008	2551	0.469506943242517	3	9
2552	chr2R	19756103	19756106	-	3	19756106	34.1391776117926	24.5063889788869	2552	0.787316529720193	4	90
2553	chr2R	19769731	19769736	-	2	19769736	2.71025321151637	1.54798541945008	2553	1.01477186396575	2	7
2554	chr2R	19769903	19769905	-	2	19769904	13.4512389626001	11.90325354315	2554	1.48729085796912	2	35
2555	chr2R	19815053	19815056	-	2	19815056	22.2486828451176	19.5455030213381	2555	1.35371588106103	3	59
2556	chr2R	19816841	19816842	-	1	19816842	10.3728317779009	10.3728317779009	2556	2	1	27
2557	chr2R	19816928	19816930	-	2	19816929	2.71025321151637	1.54798541945008	2557	0.594360937770434	3	8
2558	chr2R	19817937	19817938	-	1	19817938	8.84153898526358	8.84153898526358	2558	2	1	23
2559	chr2R	19818000	19818001	-	1	19818001	13.4329177540685	13.4329177540685	2559	2	1	35
2560	chr2R	19818026	19818029	-	3	19818028	4.64291395980367	2.3183783756711	2560	0.5	3	12
2561	chr2R	19818161	19818164	-	2	19818162	5.01868640181584	3.85641860974955	2561	0.905085681587902	3	14
2562	chr2R	19818316	19818329	-	4	19818319	15.4213341541204	6.54261381066948	2562	-0.0127141325288398	5	41
2563	chr2R	19818474	19818489	-	4	19818476	8.50174671993297	3.08777025983574	2563	0.0803094259503034	4	22
2564	chr2R	19818658	19818660	-	2	19818659	13.4675594438499	8.07552011196818	2564	1.02904940554533	2	35
2565	chr2R	19818780	19818781	-	1	19818781	5.39203933188174	5.39203933188174	2565	2	1	14
2566	chr2R	19818944	19818946	-	2	19818945	3.48064616773738	2.3183783756711	2566	1.08170416594551	2	9
2567	chr2R	19819997	19820017	-	2	19819998	2.32453558413257	1.16226779206629	2567	-0.113283334294875	5	9
2568	chr2R	19883216	19883232	-	3	19883231	14.9988516275762	11.90325354315	2568	1.07215197597348	3	39
2569	chr2R	19909595	19909612	-	4	19909610	12.3333859884606	8.07552011196818	2569	0.542440042409928	4	32
2570	chr2R	19909636	19909655	-	3	19909637	9.25869991660144	5.39203933188174	2570	0.417033804532479	4	25
2571	chr2R	19925434	19925436	-	2	19925436	41.6726868557435	40.5104190636772	2571	1.81818682830438	2	109
2572	chr2R	19932075	19932080	-	5	19932079	86.4869298589259	53.447400091317	2572	0.405286140400744	5	226
2573	chr2R	19932118	19932119	-	1	19932119	8.07552011196818	8.07552011196818	2573	2	1	21
2574	chr2R	19934231	19934233	-	2	19934233	3.48064616773738	2.3183783756711	2574	1.08170416594551	2	9
2575	chr2R	19949793	19949800	-	3	19949794	5.79877790820562	2.70317982377949	2575	-0.0579243108310061	5	18
2576	chr2R	19982140	19982158	-	3	19982141	3.87252100358266	1.54798541945008	2576	0.429049405545332	3	10
2577	chr2R	19983038	19983040	-	2	19983039	2.32453558413257	1.16226779206629	2577	1	2	6
2578	chr2R	19996551	19996552	-	1	19996552	9.99009540998002	9.99009540998002	2578	2	1	26
2579	chr2R	19997164	19997165	-	1	19997165	6.92595847127459	6.92595847127459	2579	2	1	18
2580	chr2R	20046836	20046839	-	3	20046837	16.9383599015617	7.30922160650763	2580	0.527403773085271	3	44
2581	chr2R	20219251	20219252	-	1	20219252	6.15918280477931	6.15918280477931	2581	2	1	16
2582	chr2R	20279773	20279777	-	2	20279777	2.71025321151637	1.54798541945008	2582	1.01477186396575	2	7
2583	chr2R	20279894	20279908	-	2	20279908	2.71025321151637	1.54798541945008	2583	1.01477186396575	2	7
2584	chr2R	20282188	20282190	-	2	20282190	21.8823439850407	16.490304653159	2584	1.19574776409836	2	57
2585	chr2R	20283570	20283571	-	1	20283571	9.99009540998002	9.99009540998002	2585	2	1	26
2586	chr2R	20292173	20292175	-	2	20292174	2.32453558413257	1.16226779206629	2586	1	2	6
2587	chr2R	20399077	20399078	-	1	20399078	5.00831368017223	5.00831368017223	2587	2	1	13
2588	chr2R	20399239	20399241	-	2	20399240	2.32453558413257	1.16226779206629	2588	1	2	6
2589	chr2R	20555867	20555870	-	3	20555869	5.02892837678598	1.93333029235985	2589	0.451419393477146	3	13
2590	chr2R	20650592	20650595	-	3	20650594	62.4261611477866	30.2257106463844	2590	0.582596877455056	3	163
2591	chr2R	20655973	20655974	-	1	20655974	6.15918280477931	6.15918280477931	2591	2	1	16
2592	chr2R	20671018	20671022	-	4	20671020	19.2410618548878	11.90325354315	2592	0.373358444776673	5	51
2593	chr2R	20683011	20683017	-	4	20683013	33.3801627892371	24.887824761235	2593	0.72821108446283	5	88
2594	chr2R	20762436	20762438	-	2	20762438	13.4680675561188	7.69240752725689	2594	1.01477186396575	2	35
2595	chr2R	20791030	20791031	-	1	20791031	11.90325354315	11.90325354315	2595	2	1	31
2596	chr2R	20791114	20791116	-	2	20791116	3.48131571180993	1.93333029235985	2596	1.00892394016178	2	9
2597	chr2R	20791275	20791279	-	2	20791279	3.09559808442614	1.93333029235985	2597	1.04556599707504	2	8
2598	chr2R	20847534	20847536	-	2	20847535	5.4027814599407	4.24051366787441	2598	1.25040474274052	2	14
2599	chr2R	20856075	20856088	-	2	20856088	24.5356605671085	22.2172821914374	2599	1.36882819460709	3	66
2600	chr2R	20856475	20856490	-	4	20856478	16.9557536947468	6.54261381066948	2600	-0.0366167890026858	5	46
2601	chr2R	20856694	20856703	-	4	20856698	71.1779556343379	45.078001716441	2601	0.69408392206912	4	186
2602	chr2R	20856733	20856735	-	2	20856735	11.5476964162442	8.07552011196818	2602	0.836499715354212	3	32
2603	chr2R	20856996	20857002	-	5	20857000	37.2666063190261	16.490304653159	2603	0.143727228108301	5	97
2604	chr2R	20857063	20857074	-	2	20857074	3.86636379512118	2.3183783756711	2604	1.02904940554533	2	10
2605	chr2R	20870674	20870675	-	1	20870675	5.39203933188174	5.39203933188174	2605	1.64664066497858	2	15
2606	chr2R	20878603	20878627	-	5	20878620	18.1138047806887	8.84153898526358	2606	-0.159545560071303	6	49
2607	chr2R	20878698	20878707	-	2	20878707	3.09559808442614	1.93333029235985	2607	0.514524702772666	3	10
2608	chr2R	20880014	20880016	-	2	20880016	4.63575567928582	3.08777025983574	2608	1.08170416594551	2	12
2609	chr2R	20880118	20880125	-	2	20880125	9.63038407050522	6.54261381066948	2609	1.09561854227551	2	25
2610	chr2R	20880283	20880286	-	3	20880284	5.79802347135211	3.08777025983574	2610	0.543435237869046	3	15
2611	chr2R	20881022	20881025	-	3	20881023	73.8204402529696	40.5104190636772	2611	0.824979751483688	3	193
2612	chr2R	20881056	20881058	-	2	20881058	4.63651011613933	2.70317982377949	2612	1.02013124334885	2	12
2613	chr2R	20881187	20881207	-	2	20881207	7.3214505968456	6.15918280477931	2613	0.63969402229792	4	23
2614	chr2R	20883910	20883945	-	4	20883930	13.111199498955	6.15918280477931	2614	-0.139620691967493	7	37
2615	chr2R	20883978	20883980	-	2	20883980	2.71025321151637	1.54798541945008	2615	1.01477186396575	2	7
2616	chr2R	21072770	21072772	-	2	21072772	7.70488160273577	6.54261381066948	2616	1.3901596952836	2	20
2617	chr2R	21072860	21072863	-	2	21072863	2.71025321151637	1.54798541945008	2617	1.01477186396575	2	7
2618	chr2RHet	110802	110803	+	1	110803	5.00831368017223	5.00831368017223	2618	2	1	13
2619	chr2RHet	227352	227353	+	1	227353	13.8152261124373	13.8152261124373	2619	2	1	36
2620	chr2RHet	548051	548052	+	1	548052	8.07552011196818	8.07552011196818	2620	2	1	21
2621	chr2RHet	591333	591334	+	1	591334	15.3440638979909	15.3440638979909	2621	2	1	40
2622	chr2RHet	944600	944601	+	1	944601	7.30922160650763	7.30922160650763	2622	2	1	19
2623	chr2RHet	1457855	1457859	+	2	1457856	5.7884990873245	4.24051366787441	2623	1.16335925805883	2	15
2624	chr2RHet	1573423	1573424	+	1	1573424	29.4633935860134	29.4633935860134	2624	2	1	77
2625	chr2RHet	2610939	2610940	+	1	2610940	48.8829533626065	48.8829533626065	2625	2	1	128
2626	chr2RHet	2817534	2817547	+	2	2817535	4.25003805190202	3.08777025983574	2626	1.15464906337756	2	11
2627	chr2RHet	2817645	2817652	+	3	2817646	9.25840312700292	5.39203933188174	2627	0.615568495659402	3	24
2628	chr2RHet	2818240	2818249	+	2	2818249	5.01868640181584	3.85641860974955	2628	1.22065016270791	2	13
2629	chr2RHet	2818329	2818348	+	2	2818348	26.0500925533013	24.887824761235	2629	1.73913709035279	2	68
2630	chr2RHet	2881707	2881708	+	1	2881708	11.1381437082637	11.1381437082637	2630	2	1	29
2631	chr2RHet	2882536	2882537	+	1	2882537	14.9619117069052	14.9619117069052	2631	2	1	39
2632	chr2RHet	2903050	2903051	+	1	2903051	5.77566002886195	5.77566002886195	2632	2	1	15
2633	chr2RHet	2903115	2903119	+	2	2903119	4.25170866803095	2.3183783756711	2633	1.00596978852304	2	11
2634	chr2RHet	2904702	2904717	+	2	2904703	3.09597083890017	1.54798541945008	2634	1	2	8
2635	chr2RHet	2912598	2912599	+	1	2912599	5.39203933188174	5.39203933188174	2635	2	1	14
2636	chr2RHet	3199769	3199773	+	2	3199770	2.32453558413257	1.16226779206629	2636	1	2	6
2637	chr2RHet	3215379	3215383	+	2	3215383	3.09559808442614	1.93333029235985	2637	1.04556599707504	2	8
2638	chr2RHet	3215510	3215511	+	1	3215511	6.15918280477931	6.15918280477931	2638	2	1	16
2639	chr2RHet	151085	151088	-	2	151088	6.55994656411176	3.47217630427602	2639	0.622036960923825	3	19
2640	chr2RHet	226495	226496	-	1	226496	6.92595847127459	6.92595847127459	2640	2	1	18
2641	chr2RHet	831283	831284	-	1	831284	9.99009540998002	9.99009540998002	2641	1.77146185604647	2	27
2642	chr2RHet	916766	916769	-	3	916769	50.0891256026157	45.8390875507137	2642	1.5130026394945	3	131
2643	chr2RHet	1463994	1463996	-	2	1463996	6.55889204354551	4.24051366787441	2643	1.06333261812244	2	17
2644	chr2RHet	1943572	1943573	-	1	1943573	5.39203933188174	5.39203933188174	2644	2	1	14
2645	chr2RHet	2157147	2157149	-	2	2157149	3.48064616773738	2.3183783756711	2645	1.08170416594551	2	9
2646	chr2RHet	3154714	3154717	-	2	3154717	3.86544761584577	2.70317982377949	2646	0.759329468323312	3	11
2647	chr2RHet	3169616	3169624	-	3	3169617	16.1606768822185	9.99009540998002	2647	0.255454478315258	6	47
2648	chr2RHet	3174765	3174778	-	2	3174766	7.32859491402557	3.85641860974955	2648	1.0019991161277	2	19
2649	chr2RHet	3174799	3174801	-	2	3174801	21.8866777086604	15.3440638979909	2649	1.12086423314667	2	57
2650	chr2RHet	3179286	3179287	-	1	3179287	32.5122259504278	32.5122259504278	2650	1.90859837985261	2	86
2651	chr3L	136285	136286	+	1	136286	6.15918280477931	6.15918280477931	2651	2	1	16
2652	chr3L	141897	141898	+	1	141898	14.5797220151729	14.5797220151729	2652	2	1	38
2653	chr3L	162062	162066	+	2	162063	2.71025321151637	1.54798541945008	2653	1.01477186396575	2	7
2654	chr3L	202075	202076	+	1	202076	6.92595847127459	6.92595847127459	2654	2	1	18
2655	chr3L	226117	226148	+	4	226148	22.3143499285888	11.5207230274671	2655	-0.0647254729697604	8	63
2656	chr3L	226318	226324	+	2	226319	22.267442302016	16.1082594972367	2656	1.1502488627467	2	58
2657	chr3L	226498	226499	+	1	226499	5.00831368017223	5.00831368017223	2657	2	1	13
2658	chr3L	226701	226702	+	1	226702	6.15918280477931	6.15918280477931	2658	2	1	16
2659	chr3L	227090	227102	+	2	227091	10.3969918663434	7.30922160650763	2659	1.12328371100054	2	27
2660	chr3L	227440	227444	+	2	227444	15.7454792513331	14.197493831883	2660	1.53878395948609	2	41
2661	chr3L	227536	227540	+	2	227540	12.6979575950131	8.84153898526358	2661	1.11503636361685	2	33
2662	chr3L	227790	227818	+	3	227802	36.0370745290347	27.5572649373172	2662	0.993683159095266	3	94
2663	chr3L	227889	227908	+	3	227905	38.2750198154512	35.179048976551	2663	1.51782080979773	3	100
2664	chr3L	227935	227999	+	7	227969	52.6189486732784	21.0723943832629	2664	-0.289847515376593	8	138
2665	chr3L	228057	228069	+	2	228058	3.09559808442614	1.93333029235985	2665	1.04556599707504	2	8
2666	chr3L	228216	228222	+	2	228217	7.32536962424159	5.39203933188174	2666	1.16852561199027	2	19
2667	chr3L	228324	228353	+	4	228353	26.1463119184173	11.90325354315	2667	0.348956134725561	4	68
2668	chr3L	228433	228442	+	2	228434	26.089668393316	19.1637099220414	2668	1.16623509278934	2	68
2669	chr3L	228576	228598	+	3	228577	11.9475166707252	6.92595847127459	2669	0.444372171396618	4	32
2670	chr3L	229212	229223	+	3	229213	4.25823863096646	1.54798541945008	2670	0.144611457792466	4	12
2671	chr3L	229666	229670	+	2	229667	3.09559808442614	1.93333029235985	2671	1.04556599707504	2	8
2672	chr3L	229760	229761	+	1	229761	8.84153898526358	8.84153898526358	2672	2	1	23
2673	chr3L	230701	230713	+	2	230713	5.40614863550683	3.08777025983574	2673	1.01477186396575	2	14
2674	chr3L	230789	230790	+	1	230790	13.4329177540685	13.4329177540685	2674	2	1	35
2675	chr3L	267521	267527	+	2	267522	2.32453558413257	1.16226779206629	2675	1	2	6
2676	chr3L	301096	301100	+	2	301097	17.6830779705272	8.84153898526358	2676	1	2	46
2677	chr3L	361487	361491	+	2	361488	3.86544761584577	2.70317982377949	2677	1.11870910076931	2	10
2678	chr3L	573363	573374	+	2	573374	5.4027814599407	4.24051366787441	2678	1.25040474274052	2	14
2679	chr3L	576907	576908	+	1	576908	7.69240752725689	7.69240752725689	2679	2	1	20
2680	chr3L	577012	577013	+	1	577013	29.8445614657546	29.8445614657546	2680	2	1	78
2681	chr3L	648765	648766	+	1	648766	5.00831368017223	5.00831368017223	2681	2	1	13
2682	chr3L	732706	732707	+	1	732707	5.00831368017223	5.00831368017223	2682	2	1	13
2683	chr3L	750222	750223	+	1	750223	56.8697448047998	56.8697448047998	2683	2	1	149
2684	chr3L	837877	837883	+	3	837880	10.7937790538991	6.54261381066948	2684	0.661871962073074	3	28
2685	chr3L	838018	838019	+	1	838019	14.9619117069052	14.9619117069052	2685	2	1	39
2686	chr3L	892190	892191	+	1	892191	9.22445137207965	9.22445137207965	2686	2	1	24
2687	chr3L	1232614	1232631	+	2	1232631	11.9307391728727	8.4585628685967	2687	1.13086241938736	2	31
2688	chr3L	1241464	1241468	+	2	1241465	3.09559808442614	1.93333029235985	2688	1.04556599707504	2	8
2689	chr3L	1248460	1248464	+	2	1248464	3.48064616773738	2.3183783756711	2689	1.08170416594551	2	9
2690	chr3L	1248767	1248780	+	3	1248768	4.25823863096646	1.54798541945008	2690	0.427376336104836	3	11
2691	chr3L	1298612	1298633	+	3	1298633	7.72221435617804	3.47217630427602	2691	0.542282530869852	3	20
2692	chr3L	1299374	1299395	+	2	1299395	6.55430712394803	5.39203933188174	2692	1.32770518292436	2	17
2693	chr3L	1300350	1300351	+	1	1300351	5.39203933188174	5.39203933188174	2693	2	1	14
2694	chr3L	1329959	1329960	+	1	1329960	15.7261795296873	15.7261795296873	2694	2	1	41
2695	chr3L	1330016	1330017	+	1	1330017	7.30922160650763	7.30922160650763	2695	2	1	19
2696	chr3L	1331581	1331600	+	2	1331600	4.25116524322957	2.70317982377949	2696	1.05433969539936	2	11
2697	chr3L	1331765	1331769	+	2	1331769	5.01868640181584	3.85641860974955	2697	1.22065016270791	2	13
2698	chr3L	1539222	1539226	+	2	1539223	3.09597083890017	1.54798541945008	2698	1	2	8
2699	chr3L	1551204	1551211	+	3	1551205	5.79802347135211	3.08777025983574	2699	0.543435237869046	3	15
2700	chr3L	1551525	1551526	+	1	1551526	8.07552011196818	8.07552011196818	2700	2	1	21
2701	chr3L	1552987	1553003	+	3	1553003	8.10645666165158	3.85641860974955	2701	0.558833455842054	3	21
2702	chr3L	1569331	1569346	+	2	1569332	3.48131571180993	1.93333029235985	2702	1.00892394016178	2	9
2703	chr3L	1572680	1572685	+	2	1572685	3.86544761584577	2.70317982377949	2703	1.11870910076931	2	10
2704	chr3L	1694941	1694954	+	2	1694942	6.55430712394803	5.39203933188174	2704	1.32770518292436	2	17
2705	chr3L	1695139	1695150	+	2	1695140	4.63651011613933	2.70317982377949	2705	1.02013124334885	2	12
2706	chr3L	1695268	1695287	+	2	1695269	7.32828392771015	4.24051366787441	2706	0.780759295363151	3	20
2707	chr3L	1695639	1695640	+	1	1695640	6.54261381066948	6.54261381066948	2707	2	1	17
2708	chr3L	1695679	1695683	+	2	1695683	4.25003805190202	3.08777025983574	2708	1.15464906337756	2	11
2709	chr3L	1696204	1696205	+	1	1696205	9.99009540998002	9.99009540998002	2709	2	1	26
2710	chr3L	1797260	1797261	+	1	1797261	8.84153898526358	8.84153898526358	2710	2	1	23
2711	chr3L	1800584	1800585	+	1	1800585	5.39203933188174	5.39203933188174	2711	2	1	14
2712	chr3L	1801996	1801997	+	1	1801997	13.8152261124373	13.8152261124373	2712	2	1	36
2713	chr3L	1822772	1822793	+	2	1822793	5.01868640181584	3.85641860974955	2713	1.22065016270791	2	13
2714	chr3L	1865469	1865470	+	1	1865470	11.90325354315	11.90325354315	2714	2	1	31
2715	chr3L	1891249	1891250	+	1	1891250	14.5797220151729	14.5797220151729	2715	2	1	38
2716	chr3L	1947748	1947749	+	1	1947749	6.15918280477931	6.15918280477931	2716	2	1	16
2717	chr3L	2028404	2028405	+	1	2028405	8.4585628685967	8.4585628685967	2717	2	1	22
2718	chr3L	2257643	2257644	+	1	2257644	8.07552011196818	8.07552011196818	2718	2	1	21
2719	chr3L	2257679	2257680	+	1	2257680	7.69240752725689	7.69240752725689	2719	2	1	20
2720	chr3L	2262912	2262913	+	1	2262913	5.39203933188174	5.39203933188174	2720	2	1	14
2721	chr3L	2373726	2373744	+	2	2373727	7.3214505968456	6.15918280477931	2721	1.37075077614397	2	19
2722	chr3L	2376365	2376366	+	1	2376366	6.54261381066948	6.54261381066948	2722	2	1	17
2723	chr3L	2409059	2409071	+	2	2409071	5.01868640181584	3.85641860974955	2723	1.22065016270791	2	13
2724	chr3L	2588590	2588594	+	2	2588591	3.09597083890017	1.54798541945008	2724	1	2	8
2725	chr3L	2588723	2588745	+	3	2588745	24.2122750149291	14.5797220151729	2725	0.638243286415527	3	63
2726	chr3L	2638699	2638719	+	2	2638700	3.48064616773738	2.3183783756711	2726	1.08170416594551	2	9
2727	chr3L	2639705	2639706	+	1	2639706	7.30922160650763	7.30922160650763	2727	2	1	19
2728	chr3L	2640134	2640138	+	2	2640138	10.3955873510364	7.69240752725689	2728	0.981575304804913	3	28
2729	chr3L	2640408	2640409	+	1	2640409	9.99009540998002	9.99009540998002	2729	2	1	26
2730	chr3L	2640459	2640474	+	3	2640474	10.0317747378051	3.85641860974955	2730	0.43033299017651	3	26
2731	chr3L	2980975	2980976	+	1	2980976	26.7946735303018	26.7946735303018	2731	2	1	70
2732	chr3L	2983355	2983359	+	2	2983359	3.48131571180993	1.93333029235985	2732	1.00892394016178	2	9
2733	chr3L	3050329	3050347	+	2	3050347	11.1670887634029	6.54261381066948	2733	1.02155067073138	2	29
2734	chr3L	3086006	3086007	+	1	3086007	18.781887601298	18.781887601298	2734	2	1	49
2735	chr3L	3089158	3089179	+	2	3089159	3.48131571180993	1.93333029235985	2735	1.00892394016178	2	9
2736	chr3L	3160467	3160468	+	1	3160468	10.3728317779009	10.3728317779009	2736	2	1	27
2737	chr3L	3161822	3161826	+	2	3161823	4.63444409634231	3.47217630427602	2737	1.18872187554087	2	12
2738	chr3L	3194181	3194182	+	1	3194182	5.77566002886195	5.77566002886195	2738	2	1	15
2739	chr3L	3195640	3195663	+	3	3195660	6.56814714317619	3.47217630427602	2739	0.531909218336767	3	17
2740	chr3L	3195688	3195689	+	1	3195689	8.4585628685967	8.4585628685967	2740	2	1	22
2741	chr3L	3195775	3195801	+	3	3195789	7.33611175230055	4.24051366787441	2741	0.398985694193165	4	20
2742	chr3L	3195914	3195918	+	2	3195915	5.79055467994712	3.47217630427602	2742	1.02904940554533	2	15
2743	chr3L	3196024	3196089	+	7	3196089	50.7355277723198	14.9619117069052	2743	-0.466312153080822	7	132
2744	chr3L	3196169	3196170	+	1	3196170	8.4585628685967	8.4585628685967	2744	2	1	22
2745	chr3L	3196192	3196203	+	2	3196193	8.47394389072467	6.92595847127459	2745	1.31596156436096	2	22
2746	chr3L	3196288	3196308	+	2	3196289	4.63575567928582	3.08777025983574	2746	1.08170416594551	2	12
2747	chr3L	3196346	3196350	+	2	3196347	9.63207863861151	5.77566002886195	2747	1.02904940554533	2	25
2748	chr3L	3196394	3196395	+	1	3196395	5.00831368017223	5.00831368017223	2748	2	1	13
2749	chr3L	3196821	3196822	+	1	3196822	14.197493831883	14.197493831883	2749	2	1	37
2750	chr3L	3196865	3196866	+	1	3196866	5.00831368017223	5.00831368017223	2750	2	1	13
2751	chr3L	3219266	3219267	+	1	3219267	5.39203933188174	5.39203933188174	2751	2	1	14
2752	chr3L	3219544	3219545	+	1	3219545	12.6681743880866	12.6681743880866	2752	2	1	33
2753	chr3L	3224591	3224592	+	1	3224592	5.00831368017223	5.00831368017223	2753	2	1	13
2754	chr3L	3288049	3288067	+	2	3288050	3.48131571180993	1.93333029235985	2754	1.00892394016178	2	9
