fly.cluster	fly.chr	fly.start	fly.end	fly.strand	fly.nr_ctss	fly.dominant_ctss	fly.tpm	fly.tpm.dominant_ctss
782	chr2L	6478754	6478781	-	4	6478781	22.3245460912031	8.4585628685967
783	chr2L	6478860	6478866	-	2	6478861	3.86544761584577	2.70317982377949
784	chr2L	6478905	6478925	-	2	6478906	6.93792782092824	5.77566002886195
785	chr2L	6490342	6490344	-	2	6490343	2.32453558413257	1.16226779206629
786	chr2L	6490490	6490491	-	1	6490491	6.92595847127459	6.92595847127459
787	chr2L	6636546	6636551	-	3	6636547	16.9365122983088	8.07552011196818
788	chr2L	6666322	6666323	-	1	6666323	13.8152261124373	13.8152261124373
789	chr2L	6667802	6667804	-	2	6667804	30.6879815124096	16.1082594972367
790	chr2L	6671824	6671825	-	1	6671825	6.54261381066948	6.54261381066948
791	chr2L	6721067	6721069	-	2	6721068	3.86544761584577	2.70317982377949
792	chr2L	6786419	6786425	-	2	6786420	3.09559808442614	1.93333029235985
793	chr2L	6914452	6914456	-	4	6914454	25.7365199671389	18.4000354603643
794	chr2L	6914585	6914587	-	2	6914587	28.3949481276102	14.5797220151729
795	chr2L	6916858	6916863	-	2	6916859	8.09608394000797	5.00831368017223
796	chr2L	6917131	6917164	-	4	6917164	11.9615397302204	4.62447495273345
797	chr2L	6917413	6917414	-	1	6917414	12.2857368361036	12.2857368361036
798	chr2L	6917971	6917988	-	3	6917972	6.57008704370204	2.3183783756711
799	chr2L	6918541	6918548	-	5	6918542	18.4955081359564	8.4585628685967
800	chr2L	6918568	6918590	-	3	6918589	14.6218776905709	10.7555138954498
801	chr2L	6918626	6918628	-	2	6918628	4.25116524322957	2.70317982377949
802	chr2L	6918698	6918712	-	2	6918699	7.32364544831204	5.77566002886195
803	chr2L	6967048	6967068	-	4	6967066	55.2376024114732	19.5455030213381
804	chr2L	6967606	6967609	-	2	6967609	12.3160337798426	8.07552011196818
805	chr2L	6972901	6972903	-	2	6972903	8.85467531932318	7.69240752725689
806	chr2L	6972941	6972943	-	2	6972942	2.32453558413257	1.16226779206629
807	chr2L	6976071	6976073	-	2	6976072	4.25116524322957	2.70317982377949
808	chr2L	6998558	6998560	-	2	6998559	18.0345836023031	16.8723158102368
809	chr2L	7032584	7032585	-	1	7032585	166.485813816859	166.485813816859
810	chr2L	7195444	7195447	-	2	7195447	2.71025321151637	1.54798541945008
811	chr2L	7206939	7206944	-	3	7206944	4.25786587649242	1.93333029235985
812	chr2L	7207748	7207751	-	2	7207749	2.32453558413257	1.16226779206629
813	chr2L	7219128	7219133	-	2	7219129	3.09597083890017	1.54798541945008
814	chr2L	7223055	7223058	-	3	7223058	5.41397646009723	2.3183783756711
815	chr2L	7255813	7255833	-	4	7255814	10.8070915883779	5.00831368017223
816	chr2L	7398413	7398415	-	2	7398415	8.09521915566123	5.39203933188174
817	chr2L	7430680	7430699	-	2	7430681	30.2444745554323	29.082206763366
818	chr2L	7497368	7497370	-	2	7497369	56.919576395593	53.447400091317
819	chr2L	7519998	7519999	-	1	7519999	8.84153898526358	8.84153898526358
820	chr2L	7559810	7559812	-	2	7559811	5.0201617237261	3.47217630427602
821	chr2L	7792592	7792595	-	2	7792593	2.32453558413257	1.16226779206629
822	chr2L	7793021	7793032	-	2	7793022	2.32453558413257	1.16226779206629
823	chr2L	7799474	7799475	-	1	7799475	8.4585628685967	8.4585628685967
824	chr2L	7825726	7825735	-	2	7825727	19.5623032524306	18.4000354603643
825	chr2L	7826150	7826155	-	3	7826155	9.25835173207425	5.00831368017223
826	chr2L	7826227	7826236	-	4	7826231	11.5674602374741	7.30922160650763
827	chr2L	7826921	7826923	-	2	7826922	6.17479698542065	3.85641860974955
828	chr2L	7827191	7827194	-	2	7827194	3.48131571180993	1.93333029235985
829	chr2L	7827224	7827234	-	3	7827225	6.18336834426187	3.08777025983574
830	chr2L	7905957	7905959	-	2	7905958	6.94418886958529	3.85641860974955
831	chr2L	7987077	7987078	-	1	7987078	6.92595847127459	6.92595847127459
832	chr2L	7988690	7988691	-	1	7988691	6.92595847127459	6.92595847127459
833	chr2L	7995645	7995648	-	2	7995648	2.71025321151637	1.54798541945008
834	chr2L	8008360	8008361	-	1	8008361	5.00831368017223	5.00831368017223
835	chr2L	8041914	8041919	-	3	8041915	6.18242951579239	3.47217630427602
836	chr2L	8042053	8042054	-	1	8042054	5.00831368017223	5.00831368017223
837	chr2L	8042482	8042484	-	2	8042484	4.25116524322957	2.70317982377949
838	chr2L	8072846	8072850	-	4	8072848	66.5871596690307	42.7944445787819
839	chr2L	8075168	8075171	-	2	8075171	2.71025321151637	1.54798541945008
840	chr2L	8075475	8075496	-	2	8075476	3.8666605847197	1.93333029235985
841	chr2L	8126864	8126899	-	7	8126866	74.0445364906951	24.5063889788869
842	chr2L	8134474	8134475	-	1	8134475	8.4585628685967	8.4585628685967
843	chr2L	8196902	8196904	-	2	8196904	3.86544761584577	2.70317982377949
844	chr2L	8209689	8209696	-	2	8209696	35.6362125155654	26.7946735303018
845	chr2L	8209719	8209721	-	2	8209720	2.71025321151637	1.54798541945008
846	chr2L	8209870	8209871	-	1	8209871	5.00831368017223	5.00831368017223
847	chr2L	8210384	8210386	-	2	8210386	3.86544761584577	2.70317982377949
848	chr2L	8259536	8259556	-	3	8259540	6.95349201608595	3.47217630427602
849	chr2L	8261821	8261823	-	2	8261823	5.4027814599407	4.24051366787441
850	chr2L	8261988	8261992	-	2	8261989	3.48064616773738	2.3183783756711
851	chr2L	8272111	8272113	-	2	8272113	24.1870247111543	14.5797220151729
852	chr2L	8277429	8277431	-	2	8277431	16.5311739243117	10.7555138954498
853	chr2L	8283480	8283483	-	2	8283481	2.32453558413257	1.16226779206629
854	chr2L	8283959	8283962	-	2	8283962	2.71025321151637	1.54798541945008
855	chr2L	8296880	8296881	-	1	8296881	8.07552011196818	8.07552011196818
856	chr2L	8302959	8302963	-	4	8302963	547.59829449951	289.404506320139
857	chr2L	8308162	8308163	-	1	8308163	54.5882726199154	54.5882726199154
858	chr2L	8364315	8364320	-	3	8364320	7.33472816424982	4.62447495273345
859	chr2L	8383682	8383684	-	2	8383684	8.08822626334088	6.92595847127459
860	chr2L	8413891	8413892	-	1	8413892	6.54261381066948	6.54261381066948
861	chr2L	8435558	8435563	-	2	8435559	8.86498862060786	4.62447495273345
862	chr2L	8509561	8509581	-	4	8509566	10.8004796871619	6.54261381066948
863	chr2L	8509973	8509975	-	2	8509974	2.32453558413257	1.16226779206629
864	chr2L	8511313	8511316	-	3	8511314	4.64358350387622	1.93333029235985
865	chr2L	8511476	8511486	-	2	8511486	8.47980959171748	5.39203933188174
866	chr2L	8685847	8685852	-	2	8685848	3.48064616773738	2.3183783756711
867	chr2L	8685930	8685931	-	1	8685931	8.84153898526358	8.84153898526358
868	chr2L	8735033	8735035	-	2	8735034	2.32453558413257	1.16226779206629
869	chr2L	8941766	8941770	-	2	8941770	7.70488160273577	6.54261381066948
870	chr2L	8954968	8954989	-	2	8954989	2.71025321151637	1.54798541945008
871	chr2L	9251511	9251512	-	1	9251512	31.750125042029	31.750125042029
872	chr2L	9251679	9251695	-	2	9251695	18.4236349455188	16.490304653159
873	chr2L	9251718	9251722	-	2	9251722	4.25116524322957	2.70317982377949
874	chr2L	9492091	9492113	-	3	9492092	5.02863158718747	2.3183783756711
875	chr2L	9494538	9494558	-	2	9494558	3.09559808442614	1.93333029235985
876	chr2L	9494695	9494749	-	5	9494729	19.2600742078376	9.22445137207965
877	chr2L	9494780	9494781	-	1	9494781	16.1082594972367	16.1082594972367
878	chr2L	9574782	9574796	-	5	9574795	8.12422967161361	2.3183783756711
879	chr2L	9682762	9682764	-	2	9682763	2.32453558413257	1.16226779206629
880	chr2L	9710201	9710203	-	2	9710202	3.48131571180993	1.93333029235985
881	chr2L	9711212	9711216	-	4	9711214	58.589578407439	40.5104190636772
882	chr2L	9716280	9716287	-	2	9716281	4.63651011613933	2.70317982377949
883	chr2L	9719165	9719167	-	2	9719167	4.25116524322957	2.70317982377949
884	chr2L	9719497	9719517	-	2	9719517	6.17058147223852	5.00831368017223
885	chr2L	9720128	9720133	-	2	9720129	2.32453558413257	1.16226779206629
886	chr2L	9727007	9727010	-	2	9727008	5.0201617237261	3.47217630427602
887	chr2L	9727124	9727130	-	2	9727130	3.86544761584577	2.70317982377949
888	chr2L	9762546	9762548	-	2	9762547	2.32453558413257	1.16226779206629
889	chr2L	9787330	9787334	-	2	9787331	2.71025321151637	1.54798541945008
890	chr2L	9808361	9808362	-	1	9808362	6.54261381066948	6.54261381066948
891	chr2L	9815106	9815107	-	1	9815107	48.1220569917027	48.1220569917027
892	chr2L	9896625	9896640	-	3	9896626	5.41434921457127	2.3183783756711
893	chr2L	9896920	9896921	-	1	9896921	8.07552011196818	8.07552011196818
894	chr2L	9917314	9917325	-	4	9917325	13.4987392233312	5.77566002886195
895	chr2L	9917370	9917373	-	2	9917373	3.48064616773738	2.3183783756711
896	chr2L	9918204	9918215	-	3	9918215	12.3293833302337	7.30922160650763
897	chr2L	9947430	9947449	-	3	9947432	16.9293329748154	9.22445137207965
898	chr2L	9966712	9966724	-	3	9966724	6.56777438870216	3.47217630427602
899	chr2L	9966948	9966952	-	2	9966952	8.47594410302933	6.54261381066948
900	chr2L	9967264	9967265	-	1	9967265	9.22445137207965	9.22445137207965
901	chr2L	9997755	9997768	-	2	9997756	3.8666605847197	1.93333029235985
902	chr2L	10169257	10169259	-	2	10169258	3.09597083890017	1.54798541945008
903	chr2L	10200943	10200954	-	2	10200944	2.71025321151637	1.54798541945008
904	chr2L	10202859	10202883	-	3	10202867	4.25823863096646	1.54798541945008
905	chr2L	10213988	10213990	-	2	10213989	3.8666605847197	1.93333029235985
906	chr2L	10214057	10214059	-	2	10214059	9.24433684694569	6.92595847127459
907	chr2L	10220937	10220939	-	2	10220938	7.32669205584333	5.00831368017223
908	chr2L	10247718	10247722	-	2	10247722	4.63575567928582	3.08777025983574
909	chr2L	10274265	10274266	-	1	10274266	5.77566002886195	5.77566002886195
910	chr2L	10275226	10275245	-	3	10275244	10.796935324917	4.62447495273345
911	chr2L	10282985	10282988	-	2	10282988	3.48064616773738	2.3183783756711
912	chr2L	10283471	10283472	-	1	10283472	13.0505675908449	13.0505675908449
913	chr2L	10283564	10283566	-	2	10283565	3.48064616773738	2.3183783756711
914	chr2L	10303937	10303941	-	2	10303938	3.09597083890017	1.54798541945008
915	chr2L	10318984	10318985	-	1	10318985	5.39203933188174	5.39203933188174
916	chr2L	10325110	10325121	-	2	10325111	2.32453558413257	1.16226779206629
917	chr2L	10374386	10374408	-	3	10374389	3.48680337619886	1.16226779206629
918	chr2L	10375708	10375710	-	2	10375710	6.17058147223852	5.00831368017223
919	chr2L	10385278	10385279	-	1	10385279	7.30922160650763	7.30922160650763
920	chr2L	10425543	10425550	-	3	10425544	31.0521604587675	26.0319987350414
921	chr2L	10487288	10487289	-	1	10487289	5.77566002886195	5.77566002886195
922	chr2L	10493858	10493864	-	2	10493864	6.55430712394803	5.39203933188174
923	chr2L	10506108	10506110	-	2	10506109	2.32453558413257	1.16226779206629
924	chr2L	10512826	10512827	-	1	10512827	6.54261381066948	6.54261381066948
925	chr2L	10688790	10688808	-	3	10688806	9.26098506887279	4.62447495273345
926	chr2L	10731472	10731473	-	1	10731473	5.00831368017223	5.00831368017223
927	chr2L	10756067	10756070	-	3	10756069	5.41464600416978	1.93333029235985
928	chr2L	10765595	10765599	-	2	10765599	5.7884990873245	4.24051366787441
929	chr2L	10766043	10766044	-	1	10766044	5.00831368017223	5.00831368017223
930	chr2L	10769961	10769962	-	1	10769962	6.15918280477931	6.15918280477931
931	chr2L	10847564	10847568	-	3	10847565	17.3154650342216	9.99009540998002
932	chr2L	10847593	10847597	-	2	10847597	2.71025321151637	1.54798541945008
933	chr2L	10858082	10858083	-	1	10858083	18.4000354603643	18.4000354603643
934	chr2L	10889591	10889592	-	1	10889592	9.99009540998002	9.99009540998002
935	chr2L	10975847	10975851	-	2	10975848	11.9256810716525	9.60730269598138
936	chr2L	10976351	10976352	-	1	10976352	5.77566002886195	5.77566002886195
937	chr2L	11002858	11002863	-	2	11002859	2.32453558413257	1.16226779206629
938	chr2L	11101989	11102005	-	2	11102005	2.71025321151637	1.54798541945008
939	chr2L	11130294	11130297	-	2	11130295	84.258318543047	82.3249882506871
940	chr2L	11268982	11268983	-	1	11268983	70.9315359813459	70.9315359813459
941	chr2L	11508434	11508449	-	2	11508435	3.48064616773738	2.3183783756711
942	chr2L	11509786	11509797	-	2	11509787	2.32453558413257	1.16226779206629
943	chr2L	11524240	11524269	-	3	11524241	3.87252100358266	1.54798541945008
944	chr2L	11524620	11524623	-	2	11524621	7.7071682242294	6.15918280477931
945	chr2L	11797588	11797593	-	2	11797593	11.9234257023399	9.99009540998002
946	chr2L	11815164	11815167	-	2	11815165	3.09597083890017	1.54798541945008
947	chr2L	11965728	11965729	-	1	11965729	5.77566002886195	5.77566002886195
948	chr2L	11966046	11966048	-	2	11966048	3.09559808442614	1.93333029235985
949	chr2L	11984393	11984394	-	1	11984394	6.54261381066948	6.54261381066948
950	chr2L	11988812	11988815	-	3	11988813	5.79969408748103	2.3183783756711
951	chr2L	12002256	12002266	-	2	12002257	18.0658655645781	9.60730269598138
952	chr2L	12038478	12038483	-	2	12038479	16.5184059362168	13.8152261124373
953	chr2L	12040522	12040525	-	2	12040523	3.09597083890017	1.54798541945008
954	chr2L	12040658	12040660	-	2	12040659	3.48131571180993	1.93333029235985
955	chr2L	12040689	12040690	-	1	12040690	83.0843264547149	83.0843264547149
956	chr2L	12045407	12045408	-	1	12045408	25.269238088717	25.269238088717
957	chr2L	12045597	12045601	-	4	12045600	37.6428339675137	16.1082594972367
958	chr2L	12045635	12045640	-	5	12045639	11.199213059426	5.00831368017223
959	chr2L	12109088	12109089	-	1	12109089	5.39203933188174	5.39203933188174
960	chr2L	12427728	12427729	-	1	12427729	5.00831368017223	5.00831368017223
961	chr2L	12431949	12431950	-	1	12431950	9.99009540998002	9.99009540998002
962	chr2L	12432124	12432127	-	2	12432127	9.24039294670698	7.69240752725689
963	chr2L	12456551	12456554	-	2	12456554	2.71025321151637	1.54798541945008
964	chr2L	12456761	12456765	-	3	12456765	30.3071680933258	21.8356786947518
965	chr2L	12456842	12456849	-	3	12456843	16.1691937617765	8.84153898526358
966	chr2L	12456957	12456959	-	2	12456958	3.48131571180993	1.93333029235985
967	chr2L	12457257	12457268	-	3	12457268	7.72007303715959	4.62447495273345
968	chr2L	12457446	12457449	-	2	12457447	7.71041770755284	5.39203933188174
969	chr2L	12457540	12457547	-	4	12457547	74.9480664781207	56.8697448047998
970	chr2L	12457776	12457798	-	3	12457779	5.41230584396831	3.08777025983574
971	chr2L	12481998	12482000	-	2	12482000	3.09559808442614	1.93333029235985
972	chr2L	12690396	12690398	-	2	12690398	4.25003805190202	3.08777025983574
973	chr2L	12691708	12691710	-	2	12691709	2.32453558413257	1.16226779206629
974	chr2L	12692219	12692221	-	2	12692220	13.8511801408301	8.07552011196818
975	chr2L	12712449	12712451	-	2	12712451	3.48131571180993	1.93333029235985
976	chr2L	13002915	13002917	-	2	13002916	3.09559808442614	1.93333029235985
977	chr2L	13004075	13004078	-	2	13004076	10.0124014302871	7.30922160650763
978	chr2L	13016762	13016764	-	2	13016763	6.17479698542065	3.85641860974955
979	chr2L	13016873	13016883	-	2	13016883	2.71025321151637	1.54798541945008
980	chr2L	13022886	13022887	-	1	13022887	9.22445137207965	9.22445137207965
981	chr2L	13022975	13022976	-	1	13022976	9.22445137207965	9.22445137207965
982	chr2L	13024521	13024523	-	2	13024522	2.32453558413257	1.16226779206629
983	chr2L	13185140	13185142	-	2	13185141	4.25116524322957	2.70317982377949
984	chr2L	13187237	13187262	-	6	13187259	15.061345153462	3.85641860974955
985	chr2L	13187705	13187706	-	1	13187706	9.22445137207965	9.22445137207965
986	chr2L	13197921	13197942	-	2	13197922	2.71025321151637	1.54798541945008
987	chr2L	13225277	13225279	-	2	13225278	20.7077708134044	19.5455030213381
988	chr2L	13371008	13371038	-	4	13371009	10.4241690402145	4.62447495273345
989	chr2L	13376614	13376617	-	3	13376616	12.3204222109798	9.22445137207965
990	chr2L	13394120	13394121	-	1	13394121	5.00831368017223	5.00831368017223
991	chr2L	13394176	13394195	-	2	13394177	10.7801777870926	7.69240752725689
992	chr2L	13394375	13394377	-	2	13394377	5.40614863550683	3.08777025983574
993	chr2L	13394702	13394705	-	3	13394705	6.95488849181043	2.70317982377949
994	chr2L	13394743	13394744	-	1	13394744	8.07552011196818	8.07552011196818
995	chr2L	13394921	13394924	-	3	13394924	20.3766385552307	10.3728317779009
996	chr2L	13395133	13395136	-	2	13395134	52.7593076512271	46.6001248464478
997	chr2L	13642427	13642428	-	1	13642428	5.77566002886195	5.77566002886195
998	chr2L	13921593	13921610	-	2	13921594	3.09559808442614	1.93333029235985
999	chr2L	13921870	13921881	-	2	13921881	5.40440402919964	3.85641860974955
1000	chr2L	13932692	13932695	-	2	13932693	31.7977786051916	27.5572649373172
1001	chr2L	13933573	13933594	-	2	13933574	3.8666605847197	1.93333029235985
1002	chr2L	13944857	13944872	-	2	13944858	3.48131571180993	1.93333029235985
1003	chr2L	13944931	13944932	-	1	13944932	9.22445137207965	9.22445137207965
1004	chr2L	13945187	13945189	-	2	13945189	3.48064616773738	2.3183783756711
1005	chr2L	13947129	13947131	-	2	13947130	6.17535612805551	3.47217630427602
1006	chr2L	13947471	13947479	-	6	13947477	254.602669808211	147.170176530022
1007	chr2L	13968311	13968324	-	2	13968312	5.01868640181584	3.85641860974955
1008	chr2L	14162341	14162347	-	3	14162342	9.25630619659934	5.77566002886195
1009	chr2L	14165534	14165536	-	2	14165535	2.32453558413257	1.16226779206629
1010	chr2L	14599859	14599860	-	1	14599860	5.39203933188174	5.39203933188174
1011	chr2L	14631814	14631815	-	1	14631815	5.00831368017223	5.00831368017223
1012	chr2L	14655227	14655229	-	2	14655229	3.48064616773738	2.3183783756711
1013	chr2L	14684826	14684828	-	2	14684827	4.63575567928582	3.08777025983574
1014	chr2L	14745218	14745222	-	4	14745221	90.9799801691301	57.6301566999885
1015	chr2L	14849190	14849191	-	1	14849191	8.07552011196818	8.07552011196818
1016	chr2L	14975934	14975937	-	2	14975937	10.7786999357477	8.07552011196818
1017	chr2L	14977543	14977548	-	2	14977544	2.71025321151637	1.54798541945008
1018	chr2L	14977650	14977652	-	2	14977652	3.48131571180993	1.93333029235985
1019	chr2L	14992343	14992345	-	2	14992345	7.3214505968456	6.15918280477931
1020	chr2L	15007418	15007431	-	2	15007419	5.40635964755897	2.70317982377949
1021	chr2L	15047993	15047996	-	2	15047994	3.09559808442614	1.93333029235985
1022	chr2L	15048038	15048043	-	3	15048042	9.63375719064021	7.30922160650763
1023	chr2L	15060629	15060631	-	2	15060630	3.86544761584577	2.70317982377949
1024	chr2L	15063598	15063599	-	1	15063599	19.1637099220414	19.1637099220414
1025	chr2L	15064414	15064421	-	3	15064421	22.6641486133932	16.490304653159
1026	chr2L	15067924	15067930	-	4	15067927	35.6791047067749	25.6506293028765
1027	chr2L	15067987	15067988	-	1	15067988	12.6681743880866	12.6681743880866
1028	chr2L	15267923	15267927	-	2	15267924	6.9436934916539	4.24051366787441
1029	chr2L	15268464	15268467	-	2	15268465	3.09559808442614	1.93333029235985
1030	chr2L	15268569	15268570	-	1	15268570	17.6362391963443	17.6362391963443
1031	chr2L	15728102	15728106	-	2	15728103	3.09597083890017	1.54798541945008
1032	chr2L	15728901	15728904	-	2	15728902	3.86636379512118	2.3183783756711
1033	chr2L	15729935	15729936	-	1	15729936	6.92595847127459	6.92595847127459
1034	chr2L	15730155	15730158	-	3	15730156	4.25823863096646	1.54798541945008
1035	chr2L	15749687	15749688	-	1	15749688	7.30922160650763	7.30922160650763
1036	chr2L	15751075	15751080	-	5	15751077	92.4979108338212	68.272090266537
1037	chr2L	15757839	15757841	-	2	15757841	2.71025321151637	1.54798541945008
1038	chr2L	15758312	15758314	-	2	15758314	35.6543920718393	18.0181528754949
1039	chr2L	16246650	16246651	-	1	16246651	9.22445137207965	9.22445137207965
1040	chr2L	16246844	16246849	-	2	16246849	3.86544761584577	2.70317982377949
1041	chr2L	16259724	16259726	-	2	16259725	3.8666605847197	1.93333029235985
1042	chr2L	16264668	16264670	-	2	16264669	2.32453558413257	1.16226779206629
1043	chr2L	16265180	16265182	-	2	16265182	8.09521915566123	5.39203933188174
1044	chr2L	16279152	16279153	-	1	16279153	8.84153898526358	8.84153898526358
1045	chr2L	16307121	16307123	-	2	16307122	11.166472139149	6.92595847127459
1046	chr2L	16313177	16313179	-	2	16313178	7.7128372194991	3.85641860974955
1047	chr2L	16316013	16316016	-	3	16316015	19.5895752090466	16.1082594972367
1048	chr2L	16325091	16325092	-	1	16325092	6.15918280477931	6.15918280477931
1049	chr2L	16328146	16328157	-	2	16328147	2.32453558413257	1.16226779206629
1050	chr2L	16345451	16345453	-	2	16345452	8.480893562483	4.62447495273345
1051	chr2L	16345988	16346001	-	2	16346001	3.48064616773738	2.3183783756711
1052	chr2L	16348843	16348856	-	2	16348844	3.48064616773738	2.3183783756711
1053	chr2L	16677870	16677872	-	2	16677871	2.71025321151637	1.54798541945008
1054	chr2L	16704359	16704361	-	2	16704360	40.2158060563644	30.2257106463844
1055	chr2L	16727180	16727195	-	2	16727195	4.63575567928582	3.08777025983574
1056	chr2L	16727320	16727325	-	3	16727325	7.33611175230055	4.24051366787441
1057	chr2L	16727456	16727459	-	2	16727457	2.32453558413257	1.16226779206629
1058	chr2L	16727787	16727812	-	4	16727789	11.1928913803066	4.62447495273345
1059	chr2L	16737228	16737247	-	2	16737229	3.48064616773738	2.3183783756711
1060	chr2L	16737448	16737450	-	2	16737449	5.01868640181584	3.85641860974955
1061	chr2L	16743086	16743088	-	2	16743088	3.86544761584577	2.70317982377949
1062	chr2L	16821349	16821350	-	1	16821350	11.5207230274671	11.5207230274671
1063	chr2L	16823495	16823524	-	3	16823515	3.48680337619886	1.16226779206629
1064	chr2L	16823835	16823837	-	2	16823837	4.25116524322957	2.70317982377949
1065	chr2L	16846967	16846986	-	4	16846968	53.6477114010251	26.7946735303018
1066	chr2L	16887360	16887361	-	1	16887361	5.00831368017223	5.00831368017223
1067	chr2L	16887948	16887949	-	1	16887949	5.77566002886195	5.77566002886195
1068	chr2L	16910409	16910413	-	4	16910413	46.4271297020754	20.6907126331071
1069	chr2L	17472400	17472421	-	2	17472401	2.71025321151637	1.54798541945008
1070	chr2L	17474993	17475013	-	2	17474994	3.48064616773738	2.3183783756711
1071	chr2L	17475631	17475633	-	2	17475632	8.08822626334088	6.92595847127459
1072	chr2L	17477561	17477566	-	3	17477562	7.33762392012179	3.47217630427602
1073	chr2L	17483867	17483868	-	1	17483868	5.00831368017223	5.00831368017223
1074	chr2L	17484270	17484288	-	2	17484288	10.010785902928	7.69240752725689
1075	chr2L	17488661	17488677	-	2	17488662	2.32453558413257	1.16226779206629
1076	chr2L	17496739	17496740	-	1	17496740	7.30922160650763	7.30922160650763
1077	chr2L	17647537	17647538	-	1	17647538	5.39203933188174	5.39203933188174
1078	chr2L	17647960	17647964	-	4	17647962	36.0944782682503	18.4000354603643
1079	chr2L	17648759	17648760	-	1	17648760	5.00831368017223	5.00831368017223
1080	chr2L	17648786	17648787	-	1	17648787	5.39203933188174	5.39203933188174
1081	chr2L	17658100	17658117	-	2	17658101	2.32453558413257	1.16226779206629
1082	chr2L	17714310	17714311	-	1	17714311	7.30922160650763	7.30922160650763
1083	chr2L	18133788	18133789	-	1	18133789	6.15918280477931	6.15918280477931
1084	chr2L	18138798	18138800	-	2	18138800	5.4027814599407	4.24051366787441
1085	chr2L	18442545	18442546	-	1	18442546	11.90325354315	11.90325354315
1086	chr2L	18442589	18442592	-	3	18442591	8.49167891110398	4.24051366787441
1087	chr2L	18442631	18442632	-	1	18442632	7.30922160650763	7.30922160650763
1088	chr2L	18444606	18444607	-	1	18444607	5.00831368017223	5.00831368017223
1089	chr2L	18447748	18447751	-	3	18447749	6.95413405495692	3.08777025983574
1090	chr2L	18448719	18448722	-	2	18448720	3.09559808442614	1.93333029235985
1091	chr2L	18601995	18601997	-	2	18601996	3.48131571180993	1.93333029235985
1092	chr2L	18603904	18603906	-	2	18603906	4.25116524322957	2.70317982377949
1093	chr2L	18604849	18604861	-	2	18604861	5.0201617237261	3.47217630427602
1094	chr2L	18652987	18652989	-	2	18652988	21.8767528642188	17.6362391963443
1095	chr2L	18685975	18685991	-	3	18685991	5.79671188840859	3.47217630427602
1096	chr2L	18688394	18688396	-	2	18688395	3.48064616773738	2.3183783756711
1097	chr2L	18708563	18708578	-	2	18708578	2.71025321151637	1.54798541945008
1098	chr2L	18835674	18835678	-	3	18835677	12.3291642785991	7.69240752725689
1099	chr2L	18856696	18856698	-	2	18856698	8.47148939857392	7.30922160650763
1100	chr2L	18857298	18857299	-	1	18857299	5.77566002886195	5.77566002886195
1101	chr2L	18859703	18859704	-	1	18859704	9.22445137207965	9.22445137207965
1102	chr2L	18916812	18916816	-	2	18916813	9.23778790403447	8.07552011196818
1103	chr2L	18939890	18939892	-	2	18939891	5.4027814599407	4.24051366787441
1104	chr2L	18974383	18974385	-	2	18974385	3.48064616773738	2.3183783756711
1105	chr2L	18977988	18977991	-	2	18977989	3.09597083890017	1.54798541945008
1106	chr2L	19008326	19008328	-	2	19008328	41.3607856326994	30.9879538547986
1107	chr2L	19008414	19008415	-	1	19008415	11.1381437082637	11.1381437082637
1108	chr2L	19009141	19009144	-	2	19009142	4.6367567513422	2.3183783756711
1109	chr2L	19030985	19030991	-	2	19030991	4.63651011613933	2.70317982377949
1110	chr2L	19032095	19032098	-	2	19032096	2.71025321151637	1.54798541945008
1111	chr2L	19044229	19044233	-	2	19044230	2.32453558413257	1.16226779206629
1112	chr2L	19120209	19120211	-	2	19120210	3.09597083890017	1.54798541945008
1113	chr2L	19120305	19120308	-	3	19120308	187.458350863968	178.979511011327
1114	chr2L	19122109	19122130	-	2	19122130	13.8304421801529	12.6681743880866
1115	chr2L	19122611	19122631	-	2	19122612	2.71025321151637	1.54798541945008
1116	chr2L	19123863	19123871	-	2	19123864	6.17384396023426	4.24051366787441
1117	chr2L	19130004	19130005	-	1	19130005	7.30922160650763	7.30922160650763
1118	chr2L	19340214	19340215	-	1	19340215	5.39203933188174	5.39203933188174
1119	chr2L	19344726	19344728	-	2	19344727	17.2963830563291	11.5207230274671
1120	chr2L	19362742	19362744	-	2	19362744	6.9436934916539	4.24051366787441
1121	chr2L	19386202	19386203	-	1	19386203	6.92595847127459	6.92595847127459
1122	chr2L	19400918	19400920	-	2	19400919	3.09559808442614	1.93333029235985
1123	chr2L	19410522	19410544	-	4	19410542	20.7812871958578	9.22445137207965
1124	chr2L	19447483	19447517	-	4	19447484	6.57661700663755	2.3183783756711
1125	chr2L	19484698	19484700	-	2	19484700	6.55430712394803	5.39203933188174
1126	chr2L	19492886	19492888	-	2	19492887	9.62759998217873	7.30922160650763
1127	chr2L	19505419	19505420	-	1	19505420	8.07552011196818	8.07552011196818
1128	chr2L	19530293	19530295	-	2	19530295	8.09059923011957	6.54261381066948
1129	chr2L	19568082	19568084	-	2	19568083	4.25170866803095	2.3183783756711
1130	chr2L	19761740	19761753	-	2	19761753	4.25170866803095	2.3183783756711
1131	chr2L	19761988	19762002	-	2	19761989	2.32453558413257	1.16226779206629
1132	chr2L	19776331	19776333	-	2	19776332	10.3981347755506	6.92595847127459
1133	chr2L	19778798	19778800	-	2	19778800	11.1552881154315	9.60730269598138
1134	chr2L	19778922	19778925	-	2	19778923	2.71025321151637	1.54798541945008
1135	chr2L	20058401	20058402	-	1	20058402	27.9385301020539	27.9385301020539
