coordinates	pi
chr2L:10688790:10688808	0
chr2L:10731472:10731473	0
chr2L:10756067:10756070	0
chr2L:10765595:10765599	0
chr2L:10766043:10766044	0
chr2L:10769961:10769962	0
chr2L:10847564:10847568	0
chr2L:10847593:10847597	0
chr2L:10858082:10858083	0
chr2L:10889591:10889592	0
chr2L:10975847:10975851	0
chr2L:10976351:10976352	0
chr2L:11002858:11002863	0
chr2L:11101989:11102005	0
chr2L:11130294:11130297	0.0625
chr2L:11268982:11268983	0
chr2L:11508434:11508449	0
chr2L:11509786:11509797	0
chr2L:11524240:11524269	0
chr2L:11524620:11524623	0
chr2L:11797588:11797593	0
chr2L:11815164:11815167	0
chr2L:11965728:11965729	0
chr2L:11966046:11966048	0
chr2L:11984393:11984394	0
chr2L:11988812:11988815	0
chr2L:12002256:12002266	0
chr2L:12038478:12038483	0
chr2L:12040522:12040525	0
chr2L:12040658:12040660	0
chr2L:12040689:12040690	0
chr2L:12045407:12045408	0
chr2L:12045597:12045601	0
chr2L:12045635:12045640	0
chr2L:12109088:12109089	0
chr2L:12427728:12427729	0
chr2L:12431949:12431950	0
chr2L:12432124:12432127	0
chr2L:12456551:12456554	0
chr2L:12456761:12456765	0
chr2L:12456842:12456849	0
chr2L:12456957:12456959	0
chr2L:12457257:12457268	0
chr2L:12457446:12457449	0
chr2L:12457540:12457547	0
chr2L:12457776:12457798	0
chr2L:12481998:12482000	0
chr2L:12690396:12690398	0
chr2L:12691708:12691710	0
chr2L:12692219:12692221	0
chr2L:12712449:12712451	0
chr2L:13002915:13002917	0
chr2L:13004075:13004078	0
chr2L:13016762:13016764	0
chr2L:13016873:13016883	0
chr2L:13022886:13022887	0
chr2L:13022975:13022976	0.238095238095238
chr2L:13024521:13024523	0
chr2L:13185140:13185142	0
chr2L:13187237:13187262	0
chr2L:13187705:13187706	0
chr2L:13197921:13197942	0
chr2L:13225277:13225279	0
chr2L:13371008:13371038	0
chr2L:13376614:13376617	0
chr2L:13394120:13394121	0
chr2L:13394176:13394195	0
chr2L:13394375:13394377	0
chr2L:13394702:13394705	0
chr2L:13394743:13394744	0
chr2L:13394921:13394924	0
chr2L:13395133:13395136	0
chr2L:13642427:13642428	0
chr2L:13921593:13921610	0
chr2L:13921870:13921881	0
chr2L:13932692:13932695	0
chr2L:13933573:13933594	0
chr2L:13944857:13944872	0
chr2L:13944931:13944932	0
chr2L:13945187:13945189	0
chr2L:13947129:13947131	0
chr2L:13947471:13947479	0
chr2L:13968311:13968324	0
chr2L:14162341:14162347	0
chr2L:14165534:14165536	0
chr2L:14599859:14599860	0
chr2L:14631814:14631815	0
chr2L:14655227:14655229	0
chr2L:14684826:14684828	0
chr2L:14745218:14745222	0
chr2L:14849190:14849191	0
chr2L:14975934:14975937	0
chr2L:14977543:14977548	0.0416666666666667
chr2L:14977650:14977652	0
chr2L:14992343:14992345	0.0833333333333333
chr2L:15007418:15007431	0.038265306122449
chr2L:15047993:15047996	0
chr2L:15048038:15048043	0
chr2L:15060629:15060631	0
chr2L:15063598:15063599	0
chr2L:15064414:15064421	0
chr2L:15067924:15067930	0
chr2L:15067987:15067988	0
chr2L:15267923:15267927	0
chr2L:15268464:15268467	0
chr2L:15268569:15268570	0
chr2L:15728102:15728106	0
chr2L:15728901:15728904	0
chr2L:15729935:15729936	0
chr2L:15730155:15730158	0
chr2L:15749687:15749688	0
chr2L:15751075:15751080	0
chr2L:15757839:15757841	0
chr2L:15758312:15758314	0
chr2L:16246650:16246651	0
chr2L:16246844:16246849	0
chr2L:16259724:16259726	0
chr2L:16264668:16264670	0
chr2L:16265180:16265182	0
chr2L:16279152:16279153	0
chr2L:16307121:16307123	0
chr2L:16313177:16313179	0
chr2L:16316013:16316016	0
chr2L:16325091:16325092	0
chr2L:16328146:16328157	0
chr2L:16345451:16345453	0
chr2L:16345988:16346001	0
chr2L:16348843:16348856	0
chr2L:16677870:16677872	0
chr2L:16704359:16704361	0
chr2L:16727180:16727195	0
chr2L:16727320:16727325	0
chr2L:16727456:16727459	0
chr2L:16727787:16727812	0
chr2L:16737228:16737247	0.0125
chr2L:16737448:16737450	0
chr2L:16743086:16743088	0
chr2L:16821349:16821350	0
chr2L:16823495:16823524	0
chr2L:16823835:16823837	0
chr2L:16846967:16846986	0
chr2L:16887360:16887361	0
chr2L:16887948:16887949	0
chr2L:16910409:16910413	0
chr2L:17472400:17472421	0
chr2L:17474993:17475013	0.0204081632653061
chr2L:17475631:17475633	0
chr2L:17477561:17477566	0
chr2L:17483867:17483868	0
chr2L:17484270:17484288	0
chr2L:17488661:17488677	0
chr2L:17496739:17496740	0
chr2L:17647537:17647538	0
chr2L:17647960:17647964	0
chr2L:17648759:17648760	0
chr2L:17648786:17648787	0
chr2L:17658100:17658117	0
chr2L:17714310:17714311	0
chr2L:18133788:18133789	0
chr2L:18138798:18138800	0
chr2L:18442545:18442546	0
chr2L:18442589:18442592	0
chr2L:18442631:18442632	0
chr2L:18444606:18444607	0
chr2L:18447748:18447751	0
chr2L:18448719:18448722	0
chr2L:18601995:18601997	0
chr2L:18603904:18603906	0
chr2L:18604849:18604861	0
chr2L:18652987:18652989	0
chr2L:18685975:18685991	0
chr2L:18688394:18688396	0
chr2L:18708563:18708578	0
chr2L:18835674:18835678	0
chr2L:18856696:18856698	0
chr2L:18857298:18857299	0
chr2L:18859703:18859704	0
chr2L:18916812:18916816	0
chr2L:18939890:18939892	0
chr2L:18974383:18974385	0.19047619047619
chr2L:18977988:18977991	0
chr2L:19008326:19008328	0
chr2L:19008414:19008415	0
chr2L:19009141:19009144	0
chr2L:19030985:19030991	0
chr2L:19032095:19032098	0
chr2L:19044229:19044233	0
chr2L:19120209:19120211	0
chr2L:19120305:19120308	0
chr2L:19122109:19122130	0
chr2L:19122611:19122631	0.0204081632653061
chr2L:19123863:19123871	0
chr2L:19130004:19130005	0
chr2L:19340214:19340215	0
chr2L:19344726:19344728	0
chr2L:19362742:19362744	0
chr2L:19386202:19386203	0
chr2L:19400918:19400920	0
chr2L:19410522:19410544	0
chr2L:19447483:19447517	0
chr2L:19484698:19484700	0
chr2L:19492886:19492888	0
chr2L:19505419:19505420	0
chr2L:19530293:19530295	0
chr2L:19568082:19568084	0
chr2L:19761740:19761753	0
chr2L:19761988:19762002	0
chr2L:19776331:19776333	0
chr2L:19778798:19778800	0
chr2L:19778922:19778925	0
chr2L:20058401:20058402	0
chr2L:20060507:20060509	0
chr2L:20075136:20075138	0
chr2L:20082584:20082591	0
chr2L:20084995:20085027	0.0162337662337662
chr2L:20085111:20085113	0
chr2L:20096483:20096496	0.0484693877551021
chr2L:20228627:20228629	0
chr2L:20463440:20463441	0
chr2L:20645453:20645456	0
chr2L:20645764:20645766	0
chr2L:20650981:20650986	0
chr2L:20730514:20730517	0
chr2L:20732078:20732096	0
chr2L:20732291:20732315	0
chr2L:20732672:20732692	0
chr2L:20734306:20734330	0
chr2L:20871744:20871746	0
chr2L:20873534:20873536	0
chr2L:20926105:20926108	0
chr2L:20927818:20927822	0.107142857142857
chr2L:20965572:20965573	0
chr2L:21020347:21020349	NaN
chr2L:21057971:21057973	0
chr2L:21160794:21160815	0
chr2L:21166110:21166114	0
chr2L:21166637:21166638	0
chr2L:21177513:21177516	0
chr2L:21179621:21179623	0
chr2L:21179705:21179707	0
chr2L:21185198:21185202	0
chr2L:21232595:21232615	0
chr2L:21233351:21233353	0
chr2L:21288170:21288174	0
chr2L:21288499:21288501	0
chr2L:21626922:21626923	0
chr2L:21627169:21627172	0
chr2L:21627271:21627273	0
chr2L:21627390:21627404	0
chr2L:21627469:21627471	0
chr2L:21627572:21627583	0
chr2L:21627920:21627937	0
chr2L:21627967:21627971	0
chr2L:21628026:21628088	0
chr2L:21628128:21628133	0
chr2L:21628182:21628185	0
chr2L:21629745:21629746	0
chr2L:21678198:21678214	0
chr2L:21678438:21678439	0
chr2L:21678879:21678881	0
chr2L:21679176:21679180	0
chr2L:21679233:21679235	0
chr2L:21679260:21679288	0
chr2L:21679315:21679316	0
chr2L:21679542:21679543	0
chr2L:21679567:21679590	0
chr2L:21679626:21679660	0
chr2L:21679866:21679890	0
chr2L:21679914:21679936	0
chr2L:21679962:21679963	0
chr2L:21679998:21680000	0
chr2L:21680040:21680047	0
chr2L:21680100:21680134	0
chr2L:21680817:21680837	0
chr2L:21680864:21680865	0
chr2L:21680955:21680956	0
chr2L:21680976:21680993	0
chr2L:21681060:21681065	0
chr2L:21681092:21681093	0
chr2L:21681213:21681225	0
chr2L:21681374:21681385	0
chr2L:21681471:21681473	0
chr2L:21681500:21681519	0
chr2L:21682068:21682069	0
chr2L:21682124:21682143	0
chr2L:21757433:21757435	0
chr2L:22112636:22112637	0
chr2L:22129565:22129569	0
chr2L:22129692:22129694	0
chr2L:22169130:22169131	0
chr2L:22247299:22247316	0
chr2L:22427583:22427591	0
chr2L:22427622:22427673	0
chr2L:22428416:22428417	0
chr2L:22428685:22428698	0
chr2L:22428931:22428947	0
chr2L:22429082:22429087	0
chr2L:22429113:22429116	0
chr2L:22429299:22429301	0
chr2L:22595586:22595590	0
chr2L:22706285:22706287	0
chr2L:22858158:22858160	0
chr2L:22959769:22959771	0
